date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-06-01T00:00:00,TPCP,GHCND:BGM00041950,4420,0,0,Bangladesh,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BGM00041978,6394,0,0,Bangladesh,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BGM00041992,8460,0,0,Bangladesh,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BGM00041859,3321,0,0,Bangladesh,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BGM00041883,765,0,0,Bangladesh,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BGM00041891,5075,0,0,Bangladesh,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BGM00041907,1472,0,0,Bangladesh,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BGM00041923,1617,0,0,Bangladesh,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BGM00041936,1441,0,0,Bangladesh,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BGM00041943,3928,0,0,Bangladesh,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BGM00041950,2287,0,0,Bangladesh,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BGM00041978,2955,0,0,Bangladesh,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BGM00041992,3917,0,0,Bangladesh,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BGM00041859,2417,0,0,Bangladesh,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BGM00041883,2187,0,0,Bangladesh,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BGM00041891,6301,0,0,Bangladesh,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BGM00041907,1223,0,0,Bangladesh,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BGM00041923,2928,0,0,Bangladesh,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BGM00041936,771,0,0,Bangladesh,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BGM00041943,3328,0,0,Bangladesh,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BGM00041950,1177,0,0,Bangladesh,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BGM00041978,4599,0,0,Bangladesh,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BGM00041992,4898,0,0,Bangladesh,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BGM00041859,3185,0,0,Bangladesh,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BGM00041883,2360,0,0,Bangladesh,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BGM00041891,4569,0,0,Bangladesh,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BGM00041907,1098,0,0,Bangladesh,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BGM00041923,1679,0,0,Bangladesh,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BGM00041936,3111,0,0,Bangladesh,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BGM00041943,2946,0,0,Bangladesh,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BGM00041950,1760,0,0,Bangladesh,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BGM00041978,1171,0,0,Bangladesh,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BGM00041992,2197,0,0,Bangladesh,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BGM00041859,564,0,0,Bangladesh,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BGM00041883,1741,0,0,Bangladesh,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BGM00041891,280,0,0,Bangladesh,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BGM00041907,721,0,0,Bangladesh,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BGM00041923,774,0,0,Bangladesh,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BGM00041936,663,0,0,Bangladesh,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BGM00041943,1720,0,0,Bangladesh,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BGM00041950,1801,0,0,Bangladesh,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BGM00041978,3208,0,0,Bangladesh,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BGM00041992,2712,0,0,Bangladesh,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BGM00041859,0,0,0,Bangladesh,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BGM00041883,10,0,0,Bangladesh,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BGM00041891,0,0,0,Bangladesh,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BGM00041907,0,0,0,Bangladesh,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BGM00041923,0,0,0,Bangladesh,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BGM00041936,0,0,0,Bangladesh,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BGM00041943,0,0,0,Bangladesh,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BGM00041950,0,0,0,Bangladesh,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BGM00041978,376,0,0,Bangladesh,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BGM00041992,0,0,0,Bangladesh,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BGM00041859,0,0,0,Bangladesh,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BGM00041883,25,0,0,Bangladesh,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BGM00041891,0,0,0,Bangladesh,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BGM00041907,0,0,0,Bangladesh,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BGM00041936,0,0,0,Bangladesh,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BGM00041943,0,0,0,Bangladesh,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BGM00041950,0,0,0,Bangladesh,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BGM00041978,191,0,0,Bangladesh,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BGM00041992,0,0,0,Bangladesh,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BGM00041859,0,0,0,Bangladesh,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BGM00041883,0,0,0,Bangladesh,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BGM00041891,0,0,0,Bangladesh,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BGM00041907,0,0,0,Bangladesh,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BGM00041936,0,0,0,Bangladesh,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BGM00041943,0,0,0,Bangladesh,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BGM00041950,0,0,0,Bangladesh,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BGM00041978,0,0,0,Bangladesh,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BGM00041992,0,0,0,Bangladesh,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BGM00041859,206,0,0,Bangladesh,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BGM00041883,0,0,0,Bangladesh,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BGM00041891,30,0,0,Bangladesh,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BGM00041907,0,0,0,Bangladesh,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BGM00041923,0,0,0,Bangladesh,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BGM00041936,0,0,0,Bangladesh,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BGM00041943,99,0,0,Bangladesh,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BGM00041950,0,0,0,Bangladesh,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BGM00041978,0,0,0,Bangladesh,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BGM00041992,0,0,0,Bangladesh,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BGM00041859,0,0,0,Bangladesh,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BGM00041883,5,0,0,Bangladesh,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BGM00041891,390,0,0,Bangladesh,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BGM00041907,0,0,0,Bangladesh,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BGM00041923,0,0,0,Bangladesh,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BGM00041936,81,0,0,Bangladesh,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BGM00041943,0,0,0,Bangladesh,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BGM00041950,41,0,0,Bangladesh,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BGM00041978,1097,0,0,Bangladesh,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BGM00041992,30,0,0,Bangladesh,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BGM00041859,0,0,0,Bangladesh,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BGM00041883,721,0,0,Bangladesh,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BGM00041891,112,0,0,Bangladesh,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BGM00041907,0,0,0,Bangladesh,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BGM00041923,84,0,0,Bangladesh,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BGM00041936,0,0,0,Bangladesh,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BGM00041943,3,0,0,Bangladesh,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BGM00041950,213,0,0,Bangladesh,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BGM00041978,492,0,0,Bangladesh,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BGM00041992,41,0,0,Bangladesh,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BGM00041859,1577,0,0,Bangladesh,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BGM00041883,1463,0,0,Bangladesh,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BGM00041891,1571,0,0,Bangladesh,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BGM00041907,1013,0,0,Bangladesh,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BGM00041923,1460,0,0,Bangladesh,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BGM00041936,782,0,0,Bangladesh,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BGM00041943,2372,0,0,Bangladesh,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BGM00041950,860,0,0,Bangladesh,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BGM00041978,2994,0,0,Bangladesh,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BGM00041992,1596,0,0,Bangladesh,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BGM00041859,1306,0,0,Bangladesh,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BGM00041883,1409,0,0,Bangladesh,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BGM00041891,3570,0,0,Bangladesh,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BGM00041907,731,0,0,Bangladesh,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BGM00041923,348,0,0,Bangladesh,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BGM00041936,920,0,0,Bangladesh,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BGM00041943,1663,0,0,Bangladesh,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BGM00041950,1581,0,0,Bangladesh,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BGM00041978,4745,0,0,Bangladesh,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BGM00041992,2930,0,0,Bangladesh,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BGM00041859,1484,0,0,Bangladesh,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BGM00041883,257,0,0,Bangladesh,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BGM00041891,3198,0,0,Bangladesh,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BGM00041907,1219,0,0,Bangladesh,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BGM00041923,1256,0,0,Bangladesh,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BGM00041936,1031,0,0,Bangladesh,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BGM00041943,3196,0,0,Bangladesh,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BGM00041950,1448,0,0,Bangladesh,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BGM00041978,5839,0,0,Bangladesh,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BGM00041992,4619,0,0,Bangladesh,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BGM00041859,2017,0,0,Bangladesh,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BGM00041883,1664,0,0,Bangladesh,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BGM00041891,2701,0,0,Bangladesh,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BGM00041907,1074,0,0,Bangladesh,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BGM00041923,1455,0,0,Bangladesh,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BGM00041936,990,0,0,Bangladesh,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BGM00041943,472,0,0,Bangladesh,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BGM00041950,1262,0,0,Bangladesh,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BGM00041978,8073,0,0,Bangladesh,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BGM00041992,3363,0,0,Bangladesh,TPCP
